"InvImages","InvRefIDPrefix","InvRefID","InvRefIDSuffix","InvCreationDate","ArtworkStatus::Status","InvTitle","InvPrice","GalleryLocationfor Inventory::GalName","InvHeight","InvWidth","InvDepth","Medium::MedMedium"
"size:864,576
image:Art Tracker Paintings/A West Coast Autumn Day .jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A West Coast Autumn Day .jpg",,"167",,2015-04-05,"Sold","
A West Coast Autumn Day",,"SOLD",37,50,,"Oil on canvas"
"size:491,326
image:Art Tracker Paintings/7AM on the Fraser-  oil on canvas 20 x 30.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/7AM on the Fraser-  oil on canvas 20 x 30.jpg",,"97",,2012-03-15,"Available","7 AM On The Fraser",1450,"Vancouver home",20,30,,"Oil on canvas"
"size:539,450
image:Art Tracker Paintings/A Fairy LivesThere - oil on canvas 10 x 12.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Fairy LivesThere - oil on canvas 10 x 12.jpg",,"76",,2012-03-13,,"A Fairy Lives There",500,"Vancouver home",10,12,,"Oil on canvas"
"size:3072,2304
image:Art Tracker Paintings/A Gathering.JPG
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Gathering.JPG",,"157",,2015-04-03,"Sold"," A Gathering",,,,,,
"size:2244,1688
image:Art Tracker Paintings/A Greenhouse- watercolor10 x 14.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Greenhouse- watercolor10 x 14.jpg",,"17",,2012-02-16,"Available","A Greenhouse",,"Mexico Studio",10,14,,"Watercolor"
"size:3994,3013
image:Art Tracker Paintings/A Long Way Down- oil on canvas 30 x 40.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Long Way Down- oil on canvas 30 x 40.jpg",,"124",,2012-03-15,"Available","A Long Way Down",2000,"Vancouver home",30,40,,"Oil on canvas"
"size:2020,1508
image:Art Tracker Paintings/A New Day -oil on canvas 30 x 40.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A New Day -oil on canvas 30 x 40.jpg",,"6",,2012-02-16,"Sold","A New Day",2000,"Jeff Pierce",30,40,,"Oil on canvas"
"size:608,450
image:Art Tracker Paintings/A Patch of Blue.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Patch of Blue.jpg",,"163",,2015-04-05,"Sold","A Patch of Blue",,"SOLD",36,48,1,"Oil on canvas"
"size:864,576
image:Art Tracker Paintings/A Peaceful Afternoon .jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Peaceful Afternoon .jpg",,"164",,2015-04-05,"Sold","A Peaceful Afternoon",,"SOLD",24,36,1,"Oil on canvas"
"size:864,576
image:Art Tracker Paintings/A Stand Of Aspens.jpg
imagewin:/C:/ArtTracker/Art Tracker Paintings/A Stand Of Aspens.jpg",,"165",,2015-04-05,"Sold","A Stand of Aspens",,"SOLD",20,30,1,"Oil on canvas"
